Problema,Solver,Status,Tempo_Segundos,Valor_Objetivo,F_Star,Gap,Dual_Infeasibility,Primal_Infeasibility,Iteracoes,Timestamp
ex4_1_9,Ipopt,LOCALLY_SOLVED,0.0031677,-5.508013099783022,-5.508,2.012873850935152e-6,-6.179699056851728e-7,NaN,5,2026-05-23T06:18:41.114
ex5_2_2_case1,Ipopt,LOCALLY_SOLVED,0.0079397,-400.00000351415423,-400.0,8.763476882377472e-9,-400.0000002045457,NaN,21,2026-05-23T06:18:41.159
ex5_2_2_case2,Ipopt,LOCALLY_SOLVED,0.0068487,-400.00000351414064,-600.0,0.33277869631590573,-400.00000020454553,NaN,20,2026-05-23T06:18:41.199
ex5_2_2_case3,Ipopt,LOCALLY_SOLVED,0.0079664,-750.0000069309508,-750.0,9.228962454737131e-9,-750.0000001630591,NaN,23,2026-05-23T06:18:41.234
ex5_2_4,Ipopt,LOCALLY_SOLVED,0.0092033,-450.00000550493826,-450.0,1.2206071525781302e-8,1799.99997580937,NaN,25,2026-05-23T06:18:41.266
ex5_2_5,Ipopt,LOCALLY_SOLVED,0.097906,-3500.0000463635024,-3500.0001,1.5320335979455036e-8,9882.316389493113,NaN,164,2026-05-23T06:18:41.495
ex5_3_2,Ipopt,LOCALLY_SOLVED,0.0151561,1.8641600035160324,1.8642,1.3964277622961331e-5,1.2573591388980994,NaN,39,2026-05-23T06:18:41.573
ex5_3_3,Ipopt,LOCALLY_SOLVED,0.1053176,3.2340193138039615,3.234,4.561597534594651e-6,2.9762129125377896,NaN,114,2026-05-23T06:18:41.881
ex5_4_2,Ipopt,LOCALLY_SOLVED,0.0118426,7512.230016692179,7512.2259,5.47926048421628e-7,776.6521348344817,NaN,23,2026-05-23T06:18:41.933
ex5_4_3,Ipopt,LOCALLY_SOLVED,0.0335366,4845.461995633683,4845.462,9.009288890909294e-10,-21031.157366965053,NaN,77,2026-05-23T06:18:42.013
ex5_4_4,Ipopt,LOCALLY_SOLVED,0.032728,11480.489876644138,10077.7754,0.13917509032338768,-169754.85920521547,NaN,76,2026-05-23T06:18:42.113
ex6_1_1,Ipopt,LOCALLY_SOLVED,0.0042436,-0.017577543290618603,-0.0202,0.0025705319637143657,-0.017577559253809452,NaN,10,2026-05-23T06:18:42.140
ex6_1_2,Ipopt,LOCALLY_SOLVED,0.0055367,-0.032463750102219295,-0.0325,3.5108859836034895e-5,0.9675360688487302,NaN,16,2026-05-23T06:18:42.167
ex6_1_3,Ipopt,LOCALLY_SOLVED,0.0117813,-0.3243487944438227,-0.3525,0.020814200041535884,-0.32434879592851906,NaN,31,2026-05-23T06:18:42.210
ex6_1_4,Ipopt,LOCALLY_SOLVED,0.0059363,-0.29454128755514586,-0.2945,3.1894596481942584e-5,0.7054584402023731,NaN,17,2026-05-23T06:18:42.236
